Name,URL,Image_URL,Home,Age,Movie Mentioned,Cover artist,Genre,Pages,Movie Appearances,Eye Color,ISBN,Followed by,Special features,Inhabitants,Mentioned,Appearance,Publication date,Type,Preceded by,Publisher,Country,Arena,Author,Occupation,Duration,Head Gamemaker,Appearances,Height,Date,Also known as,Relatives,Hair,Book Mentioned,Fate,Book Appearances,Portrayed by,Outcome,Location,Victor's home,Weapon,Victor,Gender
Teslee,https://thehungergames.fandom.com/wiki/Teslee,https://static.wikia.nocookie.net/thehungergames/images/9/9d/Tesleeclose.png/revision/latest/scale-to-width-down/268?cb=20250427061437,District 3,15–18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Dark brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Dark (book) [ 1 ] Black (film),,Deceased,The Ballad of Songbirds and Snakes,Vanessa Blanck,,,,Drones,,Female
The Ballad of Songbirds and Snakes,https://thehungergames.fandom.com/wiki/The_Ballad_of_Songbirds_and_Snakes,https://static.wikia.nocookie.net/thehungergames/images/b/ba/Ballad_of_songbirds.jpeg/revision/latest/scale-to-width-down/268?cb=20200325222912,,,,Tim O'Brien,Science fiction Young adult Adventure,528 [ 1 ],,,ISBN 1338635174,Sunrise on the Reaping,,,,,19-May-20,,Mockingjay,Scholastic Press,United States,,Suzanne Collins,,,,,,,,,,,,,,,,,,,
Goat Man,https://thehungergames.fandom.com/wiki/The_Goat_Man,,The Seam in District 12,Elderly,,,,,,,,,,,,,,,,,,,,Goat herder Coal miner (formerly),,,,,,,,,The Hunger Games Catching Fire,Presumed deceased,,,,,,,,Male
The Hunger Games,https://thehungergames.fandom.com/wiki/The_Hunger_Games,https://static.wikia.nocookie.net/thehungergames/images/b/b8/Hungergames_poster.jpg/revision/latest/scale-to-width-down/268?cb=20120329195535,,,,Tim O'Brien,Science fiction Young adult Adventure,384 (paperback) [ 1 ],,,ISBN 0-439-02348-3,Catching Fire,,,,,14-Sep-08,,Sunrise on the Reaping,Scholastic Press,United States,,Suzanne Collins,,,,,,,,,,,,,,,,,,,
The Hunger Gamestrilogy,https://thehungergames.fandom.com/wiki/The_Hunger_Games_trilogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thom,https://thehungergames.fandom.com/wiki/Thom,,District 12 District 13 (briefly),Late teens (presumed),,,,,,,,,,,,,,,,,,,,Coal miner,,,,,,,,,,Alive,Catching Fire Mockingjay,,,,,,,Male
Thresh,https://thehungergames.fandom.com/wiki/Thresh,https://static.wikia.nocookie.net/thehungergames/images/a/a2/ThreshNormal.png/revision/latest/scale-to-width-down/268?cb=20140406005746,District 11 [ 3 ],18 (film) [ 1 ],Catching Fire The Hunger Games: Mockingjay - Part 2,,,,The Hunger Games,Golden brown (book) Dark brown (film),,,,,,,,,,,,,,Tribute [ 3 ],,,,"5'11"" (film) [ 1 ] 6'0"" ( The Hunger Games: Tribute Guide ) [ 2 ]",,,Unnamed grandmother Unnamed sister,Black (film and The Hunger Games: Illustrated Edition ) Marcellus Hill ( stage ),Catching Fire Mockingjay,Deceased,The Hunger Games,Dayo Okeniyi,,,,Rock (novel) Crescent sword (film) Spear (film),,Male
Tibby,https://thehungergames.fandom.com/wiki/Tibby,,The Capitol,,,,,,The Hunger Games: Sunrise on the Reaping,,,,,,,,,,,,,,,Attendant [ 1 ],,,,,,,,,,,Sunrise on the Reaping,Jax Guerrero,,,,,,Male
Tigris,https://thehungergames.fandom.com/wiki/Tigris,https://static.wikia.nocookie.net/thehungergames/images/3/3b/TIGRIS.png/revision/latest/scale-to-width-down/268?cb=20151128175826,The Capitol,8-11 ( Dark Days ) 21 ( The Ballad of Songbirds and Snakes ) 87 ( Mockingjay ),,,,,The Hunger Games: Mockingjay - Part 2 The Hunger Games: The Ballad of Songbirds & Snakes,Blue (TBOSAS film) Yellow (Mockingjay Part 2),,,,,,,,,,,,,,Shopkeeper Stylist (formerly) Apprentice to Fabricia Whatnot (TBOSAS) Academy Student (formerly),,,,,,,Unnamed parents Crassus Snow (uncle) Unnamed aunt Coriolanus Snow (cousin) Unnamed cousin Grandma'am (grandmother) Coriolanus Snow's granddaughter (first cousin twice removed) Coriolanus Snow's child (first cousin once removed),Blonde (TBOSAS film),,Alive,Mockingjay The Ballad of Songbirds and Snakes,Eugenie Bondurant (Mockingjay - Part 2) Hunter Schafer (TBOSAS) Rosa Gotzler (Dark Days),,,,,,Female
Tile,https://thehungergames.fandom.com/wiki/Tile,https://static.wikia.nocookie.net/thehungergames/images/0/01/Tile.png/revision/latest?cb=20260604031942,District 11,18-Dec,,,,,“ The Hunger Games: Sunrise on the Reaping ”,Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,6’2” (film),,,,Dark brown (film),,Deceased,Sunrise on the Reaping,Shahriar Sadeghian,,,,,,Male
Titus,https://thehungergames.fandom.com/wiki/Titus,,District 6 [ 1 ],12–18,,,,,,,,,,,,,,,,,,,,Tribute [ 1 ],,,,,,,,,The Hunger Games,Deceased [ 1 ],,,,,,,,Male [ 1 ]
Tracker jacker,https://thehungergames.fandom.com/wiki/Tracker_jacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracker jacker,https://thehungergames.fandom.com/wiki/Tracker_jackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trajan Heavensbee,https://thehungergames.fandom.com/wiki/Trajan_Heavensbee,https://static.wikia.nocookie.net/thehungergames/images/7/77/Trajan.jpeg/revision/latest?cb=20250403004225,The Capitol,,The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,,,,,,,,,,,,Hilarius and Plutarch Heavensbee (descendants),,Sunrise on the Reaping,Deceased,,Francis Lawrence,,,,,,Male
Treech,https://thehungergames.fandom.com/wiki/Treech,https://static.wikia.nocookie.net/thehungergames/images/4/4b/Treech_in_cattle_car.png/revision/latest/scale-to-width-down/268?cb=20230509001831,District 7,12–18,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Green (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,Treacherous Treech (by Lucky Flickerman ) Lumberjack (by Coral ),,Dark-brown (film),,Deceased,The Ballad of Songbirds and Snakes,Hiroki Berrecloth,,,,Ax,,Male
Twill,https://thehungergames.fandom.com/wiki/Twill,,District 8,About 35 [ 1 ],,,,,,,,,,,,,,,,,,,,Teacher Factory worker,,,,,,,,,Mockingjay,Unknown (presumed deceased),Catching Fire,,,,,Gun,,Female
University,https://thehungergames.fandom.com/wiki/University,,,,,,,,,,,,,University students and staff,Sunrise on the Reaping,,,,,,,,,,,,The Ballad of Songbirds and Snakes,,,,,,,,,,,The Capitol,,,,
Urban Canville,https://thehungergames.fandom.com/wiki/Urban_Canville,https://static.wikia.nocookie.net/thehungergames/images/9/95/Urban_Canville.jpg/revision/latest?cb=20231106220558,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,,,,Alive,The Ballad of Songbirds and Snakes,Mekyas Mulugeta,,,,,,Male
Urchin,https://thehungergames.fandom.com/wiki/Urchin,https://static.wikia.nocookie.net/thehungergames/images/7/74/Urchin.jpg/revision/latest/scale-to-width-down/268?cb=20260418031620,District 4,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping,Brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’4” (film),,,,Light brown (film),,Deceased,Sunrise on the Reaping,Emil Bloch,,,,,,Male
Velo,https://thehungergames.fandom.com/wiki/Velo,https://static.wikia.nocookie.net/thehungergames/images/e/e4/Coil.png/revision/latest?cb=20260418033809,District 6,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping,Brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’6” (film),,“Dove” (by Haymitch),,Dark-blonde (film),,Deceased,Sunrise on the Reaping,Elizabeth Churcher,,,,,,Female
Velvereen,https://thehungergames.fandom.com/wiki/Velvereen,https://static.wikia.nocookie.net/thehungergames/images/f/fe/Velvereen_%28TBOSAS%29.jpg/revision/latest/scale-to-width-down/268?cb=20250427051804,District 1,18-Dec,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Black (film),,Deceased (Shot by Peacekeepers ),The Ballad of Songbirds and Snakes,Vara Kane,,,,,,Female
Venia,https://thehungergames.fandom.com/wiki/Venia,https://static.wikia.nocookie.net/thehungergames/images/b/bc/HungerGames_122Pyxurz.jpg/revision/latest/scale-to-width-down/268?cb=20130125225917,The Capitol District 13 (briefly),,,,,,The Hunger Games,,,,,,,,,,,,,,,Prep team for Katniss Everdeen,,,,,,,,,,Alive,"The Hunger Games , Catching Fire , Mockingjay",Kimiko Gelman,,,,,,Female
Venus,https://thehungergames.fandom.com/wiki/Venus,https://static.wikia.nocookie.net/thehungergames/images/2/29/Venus_%28TBOSAS%29.jpg/revision/latest/scale-to-width-down/268?cb=20231222172041,The Capitol,4,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,,,,,,,,,,,,The Ballad of Songbirds and Snakes,Riley Chung,,,,,,Female
Vick Hawthorne,https://thehungergames.fandom.com/wiki/Vick_Hawthorne,,The Seam in District 12 District 13 (briefly),10 [ 1 ],,,,,,,,,,,,,,,,,,,,Student,,,,,,,Mr. Hawthorne (father) Hazelle Hawthorne (mother) Gale Hawthorne (older brother) Rory Hawthorne (older brother) Posy Hawthorne (younger sister),,The Hunger Games,Alive,Catching Fire,,,,,,,Male
Vipsania Sickle,https://thehungergames.fandom.com/wiki/Vipsania_Sickle,https://static.wikia.nocookie.net/thehungergames/images/9/9e/Vipsania.jpg/revision/latest/scale-to-width-down/268?cb=20231222121655,The Capitol,18 ( The Ballad of Songbirds and Snakes ),,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Academy student Mentor ( 10th Hunger Games ),,,,,,,Agrippina Sickle (aunt) Drusilla Sickle (unknown relation),,,,The Ballad of Songbirds and Snakes,Amélie Hoeferle,,,,,,Female
Vitus,https://thehungergames.fandom.com/wiki/Vitus,https://static.wikia.nocookie.net/thehungergames/images/5/5d/Vitus.png/revision/latest/scale-to-width-down/268?cb=20260413201325,The Capitol,,,,,,The Hunger Games: Sunrise on the Reaping,Brown (film),,,,,,,,,,,,,,University student Prep team to Haymitch Abernathy,,,,,,,Unnamed mother Unnamed grandfather,Auburn (film) Green (book),,Alive,Sunrise on the Reaping,Edvin Ryding,,,,,,Male
Volumnia Gaul,https://thehungergames.fandom.com/wiki/Volumnia_Gaul,https://static.wikia.nocookie.net/thehungergames/images/8/84/VolumniaGaul-Poster.jpeg/revision/latest/scale-to-width-down/268?cb=20230922111042,The Capitol,,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,,,,,,,,,,,,,,,Head Gamemaker Scientist University professor Obstetrician (formerly),,,,,,,,,Sunrise on the Reaping,Deceased by the Original Trilogy,The Ballad of Songbirds and Snakes,Viola Davis,,,,,,Female
Volunteer,https://thehungergames.fandom.com/wiki/Volunteer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wefton,https://thehungergames.fandom.com/wiki/Wefton,https://static.wikia.nocookie.net/thehungergames/images/7/7a/Wefton.png/revision/latest/scale-to-width-down/268?cb=20260418034654,District 8,18-Dec,,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Green (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’11” (film),,,,Light brown (film),,Deceased,Sunrise on the Reaping,Vincent Schwalm,,,,,,Male
Wellie,https://thehungergames.fandom.com/wiki/Wellie,,District 6,12 (film) ( 50th Hunger Games ),,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ),,,,5’2” (film),,“Dove” (by Haymitch),,Dark brown (film),,Deceased,Sunrise on the Reaping,Rada Rae [ 1 ],,,,,,Female
Willamae Abernathy,https://thehungergames.fandom.com/wiki/Willamae_Abernathy,https://static.wikia.nocookie.net/thehungergames/images/b/b0/Willamae.jpeg/revision/latest/scale-to-width-down/268?cb=20260413133158,The Seam in District 12,35 [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping (upcoming),Brown (film),,,,,,,,,,,,,,Laundry worker [ 1 ],,,,,,,Unnamed husband † Mamaw † (mother-in-law) Haymitch Abernathy (older son) Sid Abernathy † (younger son) Two unnamed daughters †,Blonde (film),Mockingjay,Deceased,Sunrise on the Reaping,Kara Tointon,,,,,,Female
Wiress,https://thehungergames.fandom.com/wiki/Wiress,https://static.wikia.nocookie.net/thehungergames/images/3/33/Hunger-games-catching-fire-meet-652404-17-wiress.jpeg/revision/latest/scale-to-width-down/267?cb=20140218191241,Victors' Village in District 3,15-18 ( 49th Hunger Games ) 16-19 ( 50th Hunger Games ) [ 1 ] 41-44 ( 75th Hunger Games ) [ 2 ],,,,,The Hunger Games: Catching Fire The Hunger Games: Sunrise on the Reaping (upcoming),Hazel (film),,,,,,,,,,,,,,Victor (49th Hunger Games) Mentor (50th Hunger Games) Tribute (75th Hunger Games),,,,,,Nuts (by Johanna Mason and Peeta Mellark ),,Black (books) Dark brown (film),,Deceased,Catching Fire Sunrise on the Reaping,Amanda Plummer (Catching Fire) Maya Hawke (SOTR) [ 3 ],,,,Intelligence,,Female
Wolf mutt,https://thehungergames.fandom.com/wiki/Wolf_mutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodbine Chance,https://thehungergames.fandom.com/wiki/Woodbine_Chance,,District 12,14-16 [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping (upcoming),,,,,,,,,,,,,,,,,,,,,,Unnamed mother Unnamed brothers Binnie Chance Clay Chance Arlo Chance (possible ancestor) [ 2 ],,,Deceased,Sunrise on the Reaping,Serafin Mishiev,,,,,,Male
Woof,https://thehungergames.fandom.com/wiki/Woof,https://static.wikia.nocookie.net/thehungergames/images/e/ec/Woof.jpg/revision/latest?cb=20250309032142,Victors' Village in District 8,15-18 (at victory) Elderly [ 1 ],,,,,The Hunger Games: Catching Fire,,,,,,,,,,,,,,,Victor Tribute ( 75th Hunger Games ),,,,,,,,,,Deceased,Catching Fire,John Casino,,,,,,Male
Wovey,https://thehungergames.fandom.com/wiki/Wovey,https://static.wikia.nocookie.net/thehungergames/images/4/4e/Wovey.jpg/revision/latest/scale-to-width-down/268?cb=20240405132724,District 8,18-Dec,,,,,The Hunger Games: The Ballad of Songbirds & Snakes,Brown (film),,,,,,,,,,,,,,Tribute ( 10th Hunger Games ),,,,,,,,Dirty blonde (film),,Deceased,The Ballad of Songbirds and Snakes,Sofia Sanchez,,,,,,Female
Wyatt Callow,https://thehungergames.fandom.com/wiki/Wyatt_Callow,https://static.wikia.nocookie.net/thehungergames/images/1/16/WyattSOTR.jpeg/revision/latest/scale-to-width-down/268?cb=20251120141943,The Seam in District 12,18 [ 1 ],,,,,The Hunger Games: Sunrise on the Reaping,Dark brown (film),,,,,,,,,,,,,,Tribute ( 50th Hunger Games ) Coal miner,,,,"5'5"" (film)",,The Calculator (by Drusilla Sickle ),Jethro Callow † (father) Mrs. Callow (mother),Black (film),,Deceased,Sunrise on the Reaping,Ben Wang,,,,Intelligence,,Male
York,https://thehungergames.fandom.com/wiki/York,,District 13,Middle-aged,,,,,,,,,,,,,,,,,,,,Trainer Soldier,,,,,,,,,,Alive,,,,,,Unknown,,Female
