Name,URL,Image_URL,First Appearance,Home,Cause of Death,Title/Alias,Last Appearance,Status,Born,Seasons,Killed By,Portrayed by,Significant Kills,Gender,Occupation,Affiliation,Family,Age
Roma Bragg,https://the100.fandom.com/wiki/Roma_Bragg,https://static.wikia.nocookie.net/thehundred/images/f/fd/RomaFullCrop.png/revision/latest/scale-to-width-down/268?cb=20140510150100,Twilight's Last Gleaming,Earth The Ark (former) The Camp,Spear to the chest,,His Sister's Keeper Join or Die (flashback),Deceased,,One Three (flashback),Grounders,Celia Reid,,Female,,Sky People The 100 Bellamy's Militia,Unnamed parents,17
Rose,https://the100.fandom.com/wiki/Rose,https://static.wikia.nocookie.net/thehundred/images/1/12/6x03_Rose.png/revision/latest/scale-to-width-down/267?cb=20190515143957,Red Sun Rising,Sanctum,Shot in the chest,,The Face Behind the Glass,Deceased,2274; Sanctum,Six,Tosh,Amélie Eve,,Female,Future host of Jasmine Mason,Sanctumites Nightbloods Primes,Unnamed Father Unnamed Mother,7
Roz Rankin,https://the100.fandom.com/wiki/Roz_Rankin,https://static.wikia.nocookie.net/thehundred/images/a/ae/5x03_Rankin.jpg/revision/latest/scale-to-width-down/268?cb=20180509232438,Sleeping Giants,Earth (current) Shallow Valley (former) Eligius IV (former),Bomb explosion,,Exit Wounds,Deceased,,Five,Emori John Murphy,Elfina Luk,,Female,Prisoner,Eligius Prisoners,,30s-40s
Russell Lightbourne,https://the100.fandom.com/wiki/Russell_Lightbourne,https://static.wikia.nocookie.net/thehundred/images/6/63/Russell_610_crop.jpg/revision/latest/scale-to-width-down/268?cb=20200320013826,Red Sun Rising,Earth (former) Eligius III (former) Alpha (former) Sanctum (former) Eligius IV (former),Consciousness destroyed,Russell Prime Russell VII Holiness The King [ 1 ] Zeus (by Ryker ) Lord (by Alyssa ),From the Ashes,"Deceased , 2281 ; Sanctum","1990s-2000s, Earth","Six , Seven",Sheidheda (consciousness) Clarke Griffin (consciousness; caused),JR Bourne (last host) Sean Maguire (prime),Simone Lightbourne I Josephine Lightbourne I Faye Lee I Caleb Mason I Miranda Mason I Jasmine Mason I Ryker Desai I Tai Sr. Abigail Griffin Jade Sierra Bryson Layla (indirectly) Tory (indirectly) Several unnamed Sanctumites (indirectly) Priya Desai (consciousness),Male,King of Sanctum (former) [ 1 ] Prime Mission Team Alpha leader (former) Astronomer (former),Eligius Corporation (former) Mission Team Alpha (former) Primes Sanctumites,Simone Lightbourne † (wife) Josephine Lightbourne † (daughter) Unnamed father † Unnamed sister †,Mid 40s (as of Eligius III 's arrival) 285-290's (chronologically) Late 40s (body of his final host)
Ryder,https://the100.fandom.com/wiki/Ryder,https://static.wikia.nocookie.net/thehundred/images/6/64/Ryder.jpg/revision/latest/scale-to-width-down/268?cb=20150818091526,Remember Me,Earth,,,Bodyguard of Lies,Unknown,,Two,,Glenn Ennis,,Male,Warrior/Bodyguard,Trikru,,
Ryker Desai,https://the100.fandom.com/wiki/Ryker_Desai,https://static.wikia.nocookie.net/thehundred/images/8/86/6x04_Ryker.png/revision/latest/scale-to-width-down/268?cb=20190522180516,Red Sun Rising,Earth (former) Alpha (current) Sanctum (current),Stabbed in the stomach (IX),Ryker IX Ryker Prime,Adjustment Protocol (corpse),"Deceased (body, 2281 ; Sanctum ) Dormant ( Mind Drive )",2020s-2030's; Earth,Six,Russell Lightbourne I (prime) Echo (IX),Thomas Cocquerel (IX),,Male,Engineer Mechanic Prime,Eligius Corporation (former) Mission Team Alpha (former) Sanctumites Primes,Priya Desai † (mother),10's (prime) 20's (last host) 206 (when he got last body)
Sasha Walgrove,https://the100.fandom.com/wiki/Sasha_Walgrove,https://static.wikia.nocookie.net/thehundred/images/c/cf/Unseen_character.png/revision/latest/scale-to-width-down/268?cb=20160831044715,The 100,Earth (current),,,Homecoming,Deceased,,,,,,Female,,Earthborns,Unnamed mother † (mother) Max Walgrove (father) Wells Jaha (boyfriend),
Seiku,https://the100.fandom.com/wiki/Seiku,https://static.wikia.nocookie.net/thehundred/images/7/75/4x06_Seiku.png/revision/latest/scale-to-width-down/268?cb=20170604015924,Echoes,,Stabbed,,We Will Rise,Deceased,,Four,"Esop and Anat, the Azgeda traitors",Jarett John,,Male,,Azgeda,,
Semet,https://the100.fandom.com/wiki/Semet,https://static.wikia.nocookie.net/thehundred/images/2/2f/3x06_Semet.png/revision/latest/scale-to-width-down/268?cb=20160313174705,Bitter Harvest,Earth,Stabbed in the throat,,Thirteen,Deceased,,Three,Titus,Zak Santiago,,Male,Chieftain of Rendon [ 1 ],Trikru,Unnamed brother † Unnamed wife † Unnamed sons †,
Seth Kettrick,https://the100.fandom.com/wiki/Seth_Kettrick,https://static.wikia.nocookie.net/thehundred/images/0/0a/Delinquent_has_wrist_band_removed_%28Earth_Skills%29.PNG/revision/latest/scale-to-width-down/268?cb=20201106113510,Pilot,Earth (current) The Ark (former) The camp,,,Pilot,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
The Lovejoy Family,https://the100.fandom.com/wiki/Sgt._Lovejoy_and_Little_Lovejoy,https://static.wikia.nocookie.net/thehundred/images/2/27/Lovejoy2_2x11.png/revision/latest/scale-to-width-down/268?cb=20150523212826,Coup de Grâce,Earth ( Mount Weather ),Strangled (Sgt. Eric Lovejoy) Radiation poisoning (son),,Coup de Grâce,Deceased,Mount Weather,Two,Bellamy Blake Maya Vie and Echo (indirectly) (Sgt. Eric Lovejoy) Clarke Griffin and Bellamy Blake Monty Green (indirectly) (Son),Eric Breker (Sgt. Lovejoy) Liam O'Neill (son),,Male,Mount Weather Guard (father) Student (son),Mountain Men,,Unknown (Sgt. Eric Lovejoy) approx. 5-7 (son)
Sgt. Scott,https://the100.fandom.com/wiki/Sgt._Scott,https://static.wikia.nocookie.net/thehundred/images/b/b2/Sgt._Scott.jpg/revision/latest?cb=20150107220718,Fog of War,,,,Fog of War,Deceased,,Two,Reapers,Warren Belle,,Male,Camp Jaha Guard,Sky People,,
Shalia Edl,https://the100.fandom.com/wiki/Shalia_Edl,https://static.wikia.nocookie.net/thehundred/images/8/88/Earth_Skills.png/revision/latest/scale-to-width-down/268?cb=20250828060758,Pilot,Earth (current) The Ark (former) The Camp,,,Earth Skills,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Shawn Gillmer,https://the100.fandom.com/wiki/Shawn_Gillmer,https://static.wikia.nocookie.net/thehundred/images/a/a4/3x05_Shawn_Gillmer.PNG/revision/latest/scale-to-width-down/268?cb=20160219080014,Watch the Thrones,The Ark (former) Earth Arkadia,Stabbed,,Fallen,Deceased,,Three,Octavia Blake,Shaine Jones,Otan,Male,Arkadia Guard,Sky People Pike's Faction,Unnamed son †,
Shay,https://the100.fandom.com/wiki/Shay,https://static.wikia.nocookie.net/thehundred/images/8/8e/3x14_Shay.png/revision/latest/scale-to-width-down/268?cb=20160506153909,Red Sky at Morning,Floukru's Oil Rig,Arrow,,Red Sky at Morning,Deceased,,Three,Sea Captain A.L.I.E. (indirectly),Nesta Cooper,,Female,,Floukru Resistance Against A.L.I.E. (only briefly during the events on the oil rig),,17 - 18
Sheidheda,https://the100.fandom.com/wiki/Sheidheda,https://static.wikia.nocookie.net/thehundred/images/c/c7/712_Sheidheda_II_Crop.png/revision/latest/scale-to-width-down/268?cb=20200829171210,Memento Mori,Earth (former) Polis (former) Sanctum (former) Bardo (current),Tyrannicide (original body) Blown up with a sonic cannon (Russell's host body),Sheidheda (Dark Commander in Trigedasleng ) Heda (Commander in Trigedasleng ) It Creature (by Indra ) That Thing (by Gaia ) The Demon Monster Russell Lightbourne Russell Prime The Prisoner Russ (by Murphy ) Malachi kom Sangedakru (Malachi of the Desert Clan) Cyclops (by Emori ) Heda ( Commander in Trigedasleng ) High King of Sanctum (by himself),The Last War,"Deceased , 2281 ; Bardo",,"Six , Seven",His fourth Flamekeeper (original body) Indra (Russell's host body),Dakota Daulby Lola Flanery (while possessing Madi Griffin ) JR Bourne,3 Flamekeepers Russell Lightbourne Indra 's father (caused) Approx. 30 of the Sanctumites All of the Children of Gabriel aside from Luca Nelson Gabriel Santiago 12 Disciples,Male,Commander (former) Commander of Wonkru (former) Leader of Sanctum (former),Sangedakru Madi Griffin (former) Wonkru Eligius Prisoners Disciples (former),,
Shoana,https://the100.fandom.com/wiki/Shoana,https://static.wikia.nocookie.net/thehundred/images/8/85/711_Shoana.png/revision/latest/scale-to-width-down/268?cb=20200813162217,Etherea,Bardo,,,The Stranger,Transcended,Unknown; Bardo,Seven,,Sunita Prasad,,Female,Memory Capture operator Member of the Disciple Cipher Team,Disciples,,30s
Shumway,https://the100.fandom.com/wiki/Shumway,https://static.wikia.nocookie.net/thehundred/images/b/b6/Shumway100.jpg/revision/latest/scale-to-width-down/268?cb=20210130201021,Pilot,The Ark,Wrists slit,,Day Trip,Deceased,,Season One,Lieutenant Graco Diana Sydney (ordered),Terry Chen,Aurora Blake,Male,Commander of the Ark Guard (former) Lieutenant (former),Sky People Sydney's Rebels,,Mid 30's
Sienna,https://the100.fandom.com/wiki/Sienna,https://static.wikia.nocookie.net/thehundred/images/3/3e/2x04_SienneCrop.jpg/revision/latest/scale-to-width-down/267?cb=20141126012537,Many Happy Returns,Earth,Unknown,,Many Happy Returns,Deceased,,Two,,Luvia Petersen,,Female,Mother,Her family Nomadic Grounders,Zoran (son) Osias (husband),
Sierra,https://the100.fandom.com/wiki/Sierra,https://static.wikia.nocookie.net/thehundred/images/8/83/Sierra_6x08_crop.jpg/revision/latest/scale-to-width-down/268?cb=20190801000944,The Old Man and the Anomaly,Sanctum Eligius IV (former),Mind wiped,,Adjustment Protocol,Deceased,,Six,Russell Lightbourne,Kat Ruston,,Female,Sanctum Guard,Sanctumites Primes,Gavin † (husband),30s
Simone Lightbourne,https://the100.fandom.com/wiki/Simone_Lightbourne,https://static.wikia.nocookie.net/thehundred/images/7/7f/612_Simone_in_the_body_of_Abby.png/revision/latest/scale-to-width-down/268?cb=20210808204358,Red Sun Rising,Earth (former) Eligius III (former) Alpha (former) Sanctum (former) Eligius IV (former),Axed to death (prime) Stabbed in the throat with a broken chalice (VI) Floated (VII),The Queen Simone VI [ 1 ] Simone VII Simone Prime Mrs. Lightbourne Dr. Lightbourne,The Blood of Sanctum,"Deceased , 2281 ; Eligius IV",1990s-2000s; Earth,Six,Russell Lightbourne I (prime) Tai Sr. (VI) Clarke Griffin (VII),Chelah Horsdal (prime) Tattiawna Jones (VI) Paige Turco (VII),Lee Family (minds erased) Gavin (mind wiped),Female,Prime Queen of Sanctum (former) Medical Doctor (former),Primes Sanctumites Mission Team Alpha (former) Eligius Corporation (former),Russell Lightbourne † (husband) Josephine Lightbourne † (daughter),Mid 40s (as of arrival to Alpha ) 285-290's (chronologically) Late 30s (VI) 46 (VII)
Minor Characters,https://the100.fandom.com/wiki/Sindri,,,,,,,,,,,,,,,,,
Sterling,https://the100.fandom.com/wiki/Sterling,https://static.wikia.nocookie.net/thehundred/images/7/79/Reapercussions_031_%28Sterling%29.png/revision/latest/scale-to-width-down/268?cb=20160911160426,Unity Day,Earth The Ark (former) Delinquents' Camp (former) Arkadia (former),Fell from a cliff,,Many Happy Returns,Deceased,,"One , Two",,Keenan Tracey,,Male,Gunner (former),Sky People The 100,,Under 18
Stuart Lennox,https://the100.fandom.com/wiki/Stuart_Lennox,https://static.wikia.nocookie.net/thehundred/images/5/59/Stuart_Lennox_%28pilot%29.png/revision/latest/scale-to-width-down/268?cb=20250828195442,Pilot,Earth (current) The Ark (former) The camp,,,Twilight's Last Gleaming,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Tarik,https://the100.fandom.com/wiki/Tarik,https://static.wikia.nocookie.net/thehundred/images/c/cd/TarikShallow.jpg/revision/latest/scale-to-width-down/268?cb=20230314220058,Exit Wounds,Earth Shallow Valley (former) Second Dawn Bunker (former) Polis (former),Asphyxiation,,Acceptable Losses,Deceased,,Five,Indra,David Lennon,,Male,,Louwoda Kliron Kru Wonkru (former),,20s
Thelonious Jaha,https://the100.fandom.com/wiki/Thelonious_Jaha,https://static.wikia.nocookie.net/thehundred/images/b/b8/404_Jaha.jpg/revision/latest/scale-to-width-down/268?cb=20190105043721,Pilot,Earth (former) Second Dawn Bunker (former) The Ark (former) Arkadia (former) Becca's Island (former) City of Light (former),Blood loss / Perforated liver,Jaha Chancellor Chancellor Jaha Bringer of the Key (by Echo) Uncle Theo (by Ethan Hardy ),Red Queen (physical) Welcome to Bardo (flashback),"Deceased , 2150; Second Dawn Bunker",2102; The Ark,"One , Two , Three , Four , Five",Azgeda Warrior,Isaiah Washington,Overseen executions as Chancellor on the Ark Jake Griffin (ordered) 320 Sky People ( The Culling ) Craig Richards Ontari 364 Sky People ( The Second Culling ) (indirectly),Male,Engineer (former) Chancellor of the Ark (former) Preacher for A.L.I.E. (former),Sky People His Followers A.L.I.E.'s Cult (former) Wonkru,Unnamed wife † Wells Jaha † (son) Iman Jaha † (grounder ancestor) Ethan Hardy † (dependent),47
Minor Characters,https://the100.fandom.com/wiki/Theo,,,,,,,,,,,,,,,,,
Tim Bartlett,https://the100.fandom.com/wiki/Tim_Bartlett,https://static.wikia.nocookie.net/thehundred/images/5/52/Tim_Bartlett.PNG/revision/latest?cb=20160430064614,Pilot,Earth (current) The Ark (former),,,The Four Horsemen (mentioned),Unknown,,One,,Uncredited,,Male,,Sky People The 100,,16/17
Titus,https://the100.fandom.com/wiki/Titus,https://static.wikia.nocookie.net/thehundred/images/9/91/307_Titus_preview.jpg/revision/latest/scale-to-width-down/268?cb=20201126044355,Wanheda (Part 2),Earth Polis,Suicide (slit throat) ; Polis; 2150,Fleimkepa ( Flamekeeper in Trigedasleng ) Teacher (by Lexa ),Stealing Fire,Deceased,,Three,Himself,Neil Sandilands,Semet Lexa (unintentional) Himself,Male,Fleimkepa (to five Commanders ; former),Grounders Coalition,,
Minor Characters,https://the100.fandom.com/wiki/Tomac,,,,,,,,,,,,,,,,,
Tor and Reese Lemkin,https://the100.fandom.com/wiki/Tor_and_Reese_Lemkin,https://static.wikia.nocookie.net/thehundred/images/d/dd/Twilight%27s_Last_Gleaming_079_%28Tor%29.png/revision/latest/scale-to-width-down/268?cb=20160903142816,Twilight's Last Gleaming,The Ark,The Culling (Tor),,Twilight's Last Gleaming,Deceased (Tor) Unknown (presumed deceased) (Reese),,One,,Mac Brandt (Tor) Lilah Fitzgerald (Reese),,Male (Tor) Female (Reese),,Sky People,Tor Lemkin † (father) Reese Lemkin (daughter) Unnamed wife/mother † (deceased),Late 30s-Early 40s (Tor) 9 (Reese)
Tosh,https://the100.fandom.com/wiki/Tosh,https://static.wikia.nocookie.net/thehundred/images/4/4d/604_Tosh_crop.png/revision/latest/scale-to-width-down/268?cb=20200125161102,The Children of Gabriel,Sanctum,Neck broken,,The Face Behind the Glass,Deceased,,Six,Octavia Blake,Kaylah Zander,Rose,Female,,Children of Gabriel,,
Trey,https://the100.fandom.com/wiki/Trey,https://static.wikia.nocookie.net/thehundred/images/9/94/705_Trey_6.png/revision/latest/scale-to-width-down/268?cb=20200619010156,The Blood of Sanctum,Alpha (current) Sanctum (current),,,Blood Giant,Transcended,,"Six , Seven",,Tom Stevens,,Male,Adjuster,Sanctumites The Faithful,,30s
Trina and Pascal,https://the100.fandom.com/wiki/Trina_and_Pascal,https://static.wikia.nocookie.net/thehundred/images/7/7a/Earth_Kills_011_%28Trina_and_Pascal%29.png/revision/latest/scale-to-width-down/268?cb=20160831140801,Earth Kills,Earth (current) The Ark (former) The Camp,Acid Fog,,Earth Kills,Deceased,,One,Mountain Men (indirectly),Chloe Babcook,,,,Sky People Delinquents,,Under 18
Tris,https://the100.fandom.com/wiki/Tris,https://static.wikia.nocookie.net/thehundred/images/7/74/The_Calm_058_%28Tris%29.png/revision/latest/scale-to-width-down/268?cb=20160907215710,The Calm,Earth,Collapsed lung and sepsis,,The Calm,Deceased,,One,Jasper Jordan Monty Green (caused) Raven Reyes (caused),Alison Thornton,,Female,Anya 's Second,Anya Trikru,Unknown,11-13
Tristan,https://the100.fandom.com/wiki/Tristan,https://static.wikia.nocookie.net/thehundred/images/e/ea/TristanS2.jpg/revision/latest/scale-to-width-down/268?cb=20140925133253,We Are Grounders (Part 1),Earth,Shot through the back and the head,,The 48,Deceased,,"One , Two",Marcus Kane,Joseph Gatt,,Male,General,Trikru,,
Tristan (Second Dawn),https://the100.fandom.com/wiki/Tristan_(Second_Dawn),https://static.wikia.nocookie.net/thehundred/images/0/0d/708_Tristan_the_Second_Dawn_member.png/revision/latest/scale-to-width-down/268?cb=20200810002339,Thirteen,Earth Second Dawn Bunker,,Tristan,Anaconda,Deceased,,"Three , Seven",,Craig Arnold,,Male,Disciple,Second Dawn (former) Disciples (former),,
Tybe,https://the100.fandom.com/wiki/Tybe,https://static.wikia.nocookie.net/thehundred/images/1/18/4x02_Tybe.png/revision/latest/scale-to-width-down/267?cb=20170209204422,Heavy Lies the Crown,Earth Farm Station,Beaten,,Heavy Lies the Crown,Deceased,,Four,"Grounders , Riley Monty Green (indirectly)",Darcy Laurie,Monty Green 's father,Male,Chief,Azgeda,,
Uzac,https://the100.fandom.com/wiki/Uzac,https://static.wikia.nocookie.net/thehundred/images/8/82/3x04_Broadleaf_ambassdor.PNG/revision/latest/scale-to-width-down/268?cb=20160212092641,Watch the Thrones,Earth,,,Fallen,Unknown (either Deceased or Transcended ),,Three,,Christian Sloan,,Male,Ambassador,Yujleda,,
Vera Kane,https://the100.fandom.com/wiki/Vera_Kane,https://static.wikia.nocookie.net/thehundred/images/4/49/Vera_Kane.png/revision/latest/scale-to-width-down/268?cb=20161104210938,Murphy's Law,The Ark,A shard of glass in her stomach,,Unity Day,Deceased,,One,Diana Sydney,Christine Willes,,Female,Caretaker of the Eden Tree Religious Leader,Sky People,Marcus Kane † (son),
Victor Lee,https://the100.fandom.com/wiki/Victor_Lee,https://static.wikia.nocookie.net/thehundred/images/8/8e/6x02_Hijacker-2.png/revision/latest/scale-to-width-down/268?cb=20210812225112,Red Sun Rising,Earth (former) Alpha (former) Sanctum (city-state) (former),Shot (VII) Deleted ( Mind Drive ),Victor Lee Victor Prime Victor Lee VIII,Red Sun Rising,Deceased,2000-2010; Earth (prime),Season Six,Charmaine Diyoza (VIII) Simone Lightbourne (consciousness),Uncredited,,Male,Prime,Primes Sanctumites Mission Team Alpha (former) Eligius Corporation (former),Faye Lee † (wife) Kaylee Lee † (daughter) Daniel Lee † (son),40's (VII)
Minor Characters,https://the100.fandom.com/wiki/Vik,,,,,,,,,,,,,,,,,
Vincent Vie,https://the100.fandom.com/wiki/Vincent_Vie,https://static.wikia.nocookie.net/thehundred/images/b/bb/Resurrection_030_%28Vincent%29.png/revision/latest/scale-to-width-down/268?cb=20161026122536,Resurrection,Mount Weather,Shot in the head,,Blood Must Have Blood (Part 1),Deceased,,Two,Mount Weather Guard,Ian Tracey,,Male,Mount Weather Resident,Mountain Men Resistance Against Harvest Project,Maya Vie † (daughter) Unknown Wife †,Late 30s to Early 40s
Wells Jaha,https://the100.fandom.com/wiki/Wells_Jaha,https://static.wikia.nocookie.net/thehundred/images/0/01/Wells_Jaha.jpg/revision/latest/scale-to-width-down/268?cb=20150110235818,Pilot,The Ark (former) Earth Skybox (former) The Camp,Stabbed in the throat,Prince Chancellor (by Bellamy Blake ) Chancellor of Earth (by John Murphy ),Earth Kills (physical) Inclement Weather (hallucination) DNR (archive footage),"Deceased , 2149; Earth (outside Delinquents' Camp )",2132; The Ark,"One , Two",Charlotte,Eli Goree Ty Benefield (child),,Male,Botanist,Sky People The 100,Thelonious Jaha † (father) Unnamed mother † Iman Jaha † (grounder ancestor) Clarke Griffin (best friend),17
Whitman,https://the100.fandom.com/wiki/Whitman,https://static.wikia.nocookie.net/thehundred/images/2/26/2x13_Whitman_crop.png/revision/latest/scale-to-width-down/268?cb=20150523212540,Rubicon,Mount Weather,Shot,,Resurrection,Deceased,,Two,Clarke Griffin,Rob Hayter,,Male,Mount Weather Guard (ground unit; scout/sniper),Mountain Men,,Mid 30s
Will Park,https://the100.fandom.com/wiki/Will_Park,https://static.wikia.nocookie.net/thehundred/images/a/ad/Will_Park_%28Unity_Day%29.PNG/revision/latest?cb=20200926131000,Pilot,Earth (current) The Ark (former) The camp,,,Unity Day,Unknown,,One,,Unknown,,Male,,Sky People The 100,,16-18
Willa,https://the100.fandom.com/wiki/Willa,https://static.wikia.nocookie.net/thehundred/images/6/66/4x02_Willa.png/revision/latest/scale-to-width-down/268?cb=20170209152944,Heavy Lies the Crown,,Bled to death,,Heavy Lies the Crown,Deceased,,Four,Ilian A.L.I.E. (indirectly),Jana Mitsoula,,Female,Farmer Mother,Trishanakru,Ilian † (son) Unnamed husband † Unnamed son †,
Gabriel Santiago,https://the100.fandom.com/wiki/Xavier,https://static.wikia.nocookie.net/thehundred/images/6/64/The_100_S7_Gabriel.jpeg/revision/latest/scale-to-width-down/268?cb=20200603161739,Red Sun Rising,Earth (current) Mission Team Alpha Camp (former) The Verge (former) Alpha (former) Sanctum (former) Skyring (former) Bardo (former),Cancer (prime) Old age (previous host) Stabbed in the back and several times in the abdomen (last host),Doctor Dr. Santiago Gabriel II Gabriel Prime The Old Man The Demon Gabriel The Demon (by Tory) Prime Number 13 (by Diyoza) Grandpa (by Diyoza) Errand boy Doc Xavier,A Sort of Homecoming,"Deceased , 2281 ; Second Dawn Bunker",Earth,"Six , Seven",Sheidheda (last host),"Ian Pala (I, Prime) Donald Heng (II, first host) Chuku Modu (last host)",Brooke Eduardo Clarke Griffin (temporarily; revived) A.L.I.E. 2.0 (permanently destroyed) Spirit of the Commanders,Male,Geneticist Prime (former) Leader of the Children of Gabriel Member of the Disciple Cipher Team (feigned),Children of Gabriel Wonkru Eligius Corporation Mission Team Alpha (former) Primes (former) Sanctumites Disciples (feigned),Unnamed grandmother † Unnamed mother † Josephine Lightbourne † (former girlfriend),"20's (2045) Mid-40s (2070) 96 (body of his previous host) 30s (body of his last host, Xavier)"
Minor Characters,https://the100.fandom.com/wiki/Zahir,,,,,,,,,,,,,,,,,
Zev,https://the100.fandom.com/wiki/Zev,https://static.wikia.nocookie.net/thehundred/images/b/b4/613_Zev.png/revision/latest/scale-to-width-down/268?cb=20200128153844,The Blood of Sanctum,Sanctum (current) Alpha,Stabbed with a candlestick,,The Flock,Deceased,,"Six , Seven",Sheidheda Indra (indirectly),Miles Chalmers,,Male,Adjuster,Sanctumites The Faithful,Daniel Lee † (boyfriend),20s-30s
Zoe Monroe,https://the100.fandom.com/wiki/Zoe_Monroe,https://static.wikia.nocookie.net/thehundred/images/1/12/Bitter_Harvest_032.png/revision/latest/scale-to-width-down/268?cb=20160824184319,His Sister's Keeper,Earth The Ark (former) The Camp (former) Arkadia,Toxic smoke,,Join or Die,"Deceased , 2150 ; Trikru village near Arkadia",,"One , Two , Three",Trikru villagers Octavia Blake (indirectly),Katie Stuart,,Female,Gunner (former) Arkadia Guard,Sky People The 100 Pike's Faction,,Under 18
Zoran,https://the100.fandom.com/wiki/Zoran,https://static.wikia.nocookie.net/thehundred/images/8/83/Many_Happy_Returns_035_%28Zoran%29.png/revision/latest/scale-to-width-down/268?cb=20160912210041,Many Happy Returns,Earth,Unknown (presumably Second Nuclear Apocalypse ),None,Many Happy Returns,Deceased,,Two,,Finn Wolfhard,,Male,Nomad,His family Nomadic Grounders,Sienna (mother) Osias (father),Unknown
