Name,URL,Image_URL,Enemies,Seen in Series,Family,Ethnicity,Status,Location,Chapter Count,Type,Age,State,Hair Color,Leader(s),Episode Count,Romances,Eye Color,Aliases,Gender,Occupation,Real-world Counterpart/Filming Location,Pets,Actor,Issue/Episode,Merged With,Other Actors,Allies
Beatrice (TV Series),https://walkingdead.fandom.com/wiki/Beatrice_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/47/Season_ten_beatrice.png/revision/latest/scale-to-width-down/268?cb=20201003032437,,,( Unnamed ) † - Late Husband,Caucasian-American,Dead,,,,"Mid 20s ("" Swear "") Early 30s ("" A Certain Doom "")",,Dark Brown,,11,,,,Female,Post-Apocalypse Former Soldier for the Militia Soldier for the Coalition,,,Briana Venskus,,,"Justine Davis ("" Wrath "")",
Becca Ford (TV Series),https://walkingdead.fandom.com/wiki/Becca_Ford_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/8/87/Season_five_becca_ford.png/revision/latest/scale-to-width-down/268?cb=20141120050351,,,Ellen Ford † - Mother Abraham Ford † - Father A.J. Ford † - Brother,Caucasian-American,Dead,,,,Possibly 5-10,,Auburn,,,,,,Female,Pre-Apocalypse Elementary School Student,,,Unknown,,,,
Bello (TV Series),https://walkingdead.fandom.com/wiki/Bello_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/18/Season_five_officer_bello.png/revision/latest/scale-to-width-down/268?cb=20250711232524,,,Unknown,Caucasian-American,Dead,,,,Late 20s to Early 30s,,Brown,,2,,,,Female,Pre-Apocalypse Police Officer,,,Amber Dawn Fox,,,,
Ben (TV Series),https://walkingdead.fandom.com/wiki/Ben_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/af/BenCrop.PNG/revision/latest/scale-to-width-down/268?cb=20250627014152,,,Donna † - Mother Allen † - Father,Caucasian-American,Dead,,,,17,,Black,,5,,,,Male,Pre-Apocalypse Assumed High School Student Post-Apocalypse Soldier for the Woodbury Army,,,Tyler Chase,,,,
Benjamin (TV Series),https://walkingdead.fandom.com/wiki/Benjamin_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/79/Season_seven_benjamin.png/revision/latest/scale-to-width-down/268?cb=20210308000759,,,(Unnamed) † - Mother (Unnamed) † - Father Henry Sutton † - Brother,Caucasian-American,Dead,,,,Late Teens,,Light Brown,,4 ( The Walking Dead ) 1 ( Fear ),,,,Male,Pre-Apocalypse Assumed High School Student Post-Apocalypse Soldier for the Kingdom,,,Logan Miller,,,,
Bernie (TV Series),https://walkingdead.fandom.com/wiki/Bernie_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/34/Season_nine_bernie.png/revision/latest/scale-to-width-down/268?cb=20181119162405,,,Unknown,Caucasian-American,Dead,,,,Early 30s,,Black,,,,,,Male,Unknown,,,Louis Zehner,,,,
Bertie (TV Series),https://walkingdead.fandom.com/wiki/Bertie_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/1d/Season_ten_bertie.png/revision/latest/scale-to-width-down/268?cb=20210816160351,,,Unknown,African-American,Unknown,,,,"Late 30s ("" Knots Untie "") Mid to Late 40s ("" Stradivarius "")",,Black,,13,,,,Female,Post-Apocalypse Former Supply Runner and Teacher for the Hilltop Colony Former Soldier for the Militia and the Coalition Former Secretary for Maggie Rhee,,,Karen Ceesay,,,,
Beta (TV Series),https://walkingdead.fandom.com/wiki/Beta_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/5c/Season_ten_beta.png/revision/latest/scale-to-width-down/268?cb=20210322120038,,,Unknown,Caucasian-American,Dead,,,,"Early 40s ("" We Are the End of the World "", Flashbacks) Mid 40s ("" Guardians "")",,Brown (Graying),,14,,,Half Moon (stage name) Jolly Green Giant (by Negan ) Frowny McTwoKnives (by Negan) Fee Fi Fo Asshole (by Negan),Male,Pre-Apocalypse Country Musician Post-Apocalypse Former Second-in-Command and De-Facto Leader of the Whisperers,,,Ryan Hurst,,,,
Beth Greene (TV Series),https://walkingdead.fandom.com/wiki/Beth_Greene_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/2e/Season_five_beth_greene_%281%29.png/revision/latest/scale-to-width-down/267?cb=20220918023809,,,Annette Greene † - Mother Hershel Greene † - Father Maggie Rhee - Half Sister Shawn Greene † - Half Brother Arnold Greene † - Cousin Glenn Rhee † - Brother-In-Law (Unnamed) † - Paternal Grandfather Hershel Rhee - Half-Nephew,Irish-American,Dead,,,,"16 ("" Bloodletting "") 17 ("" Seed "") 18 ("" Alone "") [ 1 ]",,Blonde,,40,Jimmy † - Late Boyfriend Zach † - Late Boyfriend,Blue,Bethy (by her fam ily ) Doodlebug (by Hershel ),Female,Pre-Apocalypse High School Student Farmhand on the Greene Family Farm Post-Apocalypse Ward at Grady Memorial Hospital,,,Emily Kinney,,,,
Betsy (TV Series),https://walkingdead.fandom.com/wiki/Betsy_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/64/Season_six_betsy.png/revision/latest/scale-to-width-down/268?cb=20200221012439,,,David † - Late Husband,Indian-American,Dead,,,,Late 20s to Early 30s,,Brown,,,,,,Female,Unknown,,,Jasmine Kaur,,,,
Betty Coleman (TV Series),https://walkingdead.fandom.com/wiki/Betty_Coleman_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/3a/Debi_Hett_Kimsey_2_%28TSK%29.png/revision/latest/scale-to-width-down/268?cb=20200602000005,,,Michael Coleman † - Late Husband Michael Coleman Jr. † - Son Emily Coleman † - Daughter,Caucasian-American,Dead,,,,Late 60s to Early 70s,,White,,3,,,,Female,Post-Apocalypse Assumed Soldier for the Woodbury Army,,,Debi Hett-Kimsey,,,,
Big Tiny (TV Series),https://walkingdead.fandom.com/wiki/Big_Tiny_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/15/Season_three_big_tiny.png/revision/latest/scale-to-width-down/268?cb=20160320205206,,,Unknown,African-American,Dead,,,,Early to Mid 30s,,Black,,2,,Brown,,Male,Unknown,,,Theodus Crane,,,,
Big Tony (TV Series),https://walkingdead.fandom.com/wiki/Big_Tony_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/d/d7/TonyWalker-Crop.PNG/revision/latest?cb=20141001031344,,,Unknown,Caucasian-American,Dead,,,,Late 40s to Early 50s,,Brown,,,,,,Male,Pre-Apocalypse Owner and Founder of Big Tony's Express Mart,,,Unknown,,,,
Bill Jenkins (TV Series),https://walkingdead.fandom.com/wiki/Bill_Jenkins_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/70/Season_four_bill_jenkins.png/revision/latest?cb=20140926212328,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 60s,,Brown (Bald),,,,,,Male,Pre-Apocalypse Army Veteran,,,Unknown,,,,
Billy (Meridian),https://walkingdead.fandom.com/wiki/Billy_(Meridian),https://static.wikia.nocookie.net/walkingdead/images/f/f4/Season_ten_billy.png/revision/latest/scale-to-width-down/268?cb=20210301021319,,,Unknown,Unknown,Dead,,,,Unknown,,Unknown,,,,,,Male,Unknown,,,None,,,,
Billy (TV Series),https://walkingdead.fandom.com/wiki/Billy_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a8/Season_four_billy.png/revision/latest?cb=20140330164719,,,Unknown,Caucasian-American,Dead,,,,Early 30s,,Brown,,4 ( The Walking Dead ) 1 ( Red Machete ),,,,Male,Unknown,,,Eric Mendenhall,,,,
Billy Johnson (TV Series),https://walkingdead.fandom.com/wiki/Billy_Johnson_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/ea/Season_eleven_billy_johnson.png/revision/latest/scale-to-width-down/268?cb=20220322153921,,,Unknown,Unknown,Dead,,,,Unknown,,Unknown,,,,,,Male,Unknown,,,None,,,,
Bloodsworth Island,https://walkingdead.fandom.com/wiki/Bloodsworth_Island,https://static.wikia.nocookie.net/walkingdead/images/9/9e/Bloodworth-island.jpg/revision/latest/scale-to-width-down/268?cb=20191202151957,,,,,Abandoned,,,Island/Naval Base,,Maryland,,,,,,,,,Bloodsworth Island,,,,,,
Bob Lamson (TV Series),https://walkingdead.fandom.com/wiki/Bob_Lamson_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/10/Season_five_bob_lamson.png/revision/latest/scale-to-width-down/268?cb=20141128221421,,,( Unnamed ) - Son,Latino-American,Dead,,,,Late 30s,,Black (Bald),,2,,,,Male,Pre-Apocalypse Sergeant in the Atlanta Police Department Post-Apocalypse Guard at Grady Memorial Hospital,,,Maximiliano Hernández,,,,
Bob Miller (TV Series),https://walkingdead.fandom.com/wiki/Bob_Miller_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/1b/Season_seven_bob_miller.png/revision/latest/scale-to-width-down/268?cb=20170902160328,,,Natalie Miller † - Late Wife (Unnamed) - 5 Children (Unnamed) - 12 Grandchildren,Caucasian-American,Dead,,,,Mid 70s,,Gray,,14,,,,Male,Unknown,,,Curtis Jackson,,,,
Bob Stookey (TV Series),https://walkingdead.fandom.com/wiki/Bob_Stookey_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a9/Season_five_bob_stookey.png/revision/latest/scale-to-width-down/267?cb=20260218073057,,,Unknown,African-American,Dead,,,,Early to Mid 30s,,Black,,20,Sasha Williams † - Girlfriend,,,Male,Pre-Apocalypse Medic for the U.S. Military Post-Apocalypse Former Supply Runner for the Prison,,,Lawrence Gilliard Jr.,,,,
Bobby (TV Series),https://walkingdead.fandom.com/wiki/Bobby_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c4/Season_five_bobby.png/revision/latest/scale-to-width-down/268?cb=20170818053041,,,Unknown,Caucasian-American,Dead,,,,Mid 40s,,Black,,6,,,,Male,Post-Apocalypse Guard for the Alexandria Safe Zone Construction Worker for the Alexandria Safe Zone,,,Robert Morato,,,,
Boone (TV Series),https://walkingdead.fandom.com/wiki/Boone_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/17/Season_eleven_boone.png/revision/latest/scale-to-width-down/268?cb=20210907161531,,,Unknown,Caucasian-American,Dead,,,,Late 30s to Early 40s,,Unknown (Bald),,4,,,,Male,Pre-Apocalypse Soldier for the U.S. Military Mercenary,,,Zac Zedalis,,,,
Bossie (TV Series),https://walkingdead.fandom.com/wiki/Bossie_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/32/Season_eleven_bossie.png/revision/latest/scale-to-width-down/268?cb=20210907161539,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Brown,,3,,,,Male,Pre-Apocalypse Soldier for the U.S. Military Mercenary,,,Michael Shenefelt,,,,
Brady's Squad,https://walkingdead.fandom.com/wiki/Brady%27s_Squad,https://static.wikia.nocookie.net/walkingdead/images/1/17/National_Guardsmen.png/revision/latest/scale-to-width-down/268?cb=20131124213113,Woodbury Army,TV Series,,,Inactive,National Guard Camp Refugee Center (Formerly),,Military,,,,Brady,,,,,,,,,,""" Walk With Me """,,,U.S. Military
Brady (TV Series),https://walkingdead.fandom.com/wiki/Brady_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/e/e0/Season_three_brady.png/revision/latest/scale-to-width-down/268?cb=20250222183111,,,Unknown,Caucasian-American,Dead,,,,Late 30s to Early 40s,,Brown,,2,,,,Male,Pre-Apocalypse Corporal for the U.S. Military Post-Apocalypse Leader of his own squad,,,Gary Weeks,,,,
Brandon (TV Series),https://walkingdead.fandom.com/wiki/Brandon_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/22/Season_ten_brandon.png/revision/latest/scale-to-width-down/268?cb=20191028144803,,,(Unnamed) † - Mother (Unnamed) † - Father (Unnamed) - Adoptive Father,Caucasian-American,Dead,,,,Late Teens to Early 20s,,Brown,,3,,,,Male,Pre-Apocalypse Student Post-Apocalypse Former Prison Guard for the Alexandria Safe Zone,,,Blaine Kern III,,,,
Brandon Carver (TV Series),https://walkingdead.fandom.com/wiki/Brandon_Carver_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/af/Season_eleven_brandon_carver.png/revision/latest/scale-to-width-down/268?cb=20210907161526,,,Unknown,Native-American,Dead,,,,Mid to Late 30s,,Black,,4,,,,Male,Pre-Apocalypse Soldier for the U.S. Military Mercenary Post-Apocalypse Former Second-in-Command of the Reapers,,,Alex Meraz,,,,
Brianna (TV Series),https://walkingdead.fandom.com/wiki/Brianna_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/9a/Season_ten_brianna.png/revision/latest?cb=20191214140119,,,Unknown,African-American,Dead,,,,Early 30s,,Black,,,,,,Female,Unknown,,,Camille Robinson,,,,
Brion (TV Series),https://walkingdead.fandom.com/wiki/Brion_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/5/5e/Season_eight_brion.png/revision/latest/scale-to-width-down/268?cb=20180311012132,,,Unknown,Caucasian-American,Dead,,,,Late 50s to Early 60s,,Light Brown,,7,,,,Male,Post-Apocalypse Lieutenant of the Scavengers,,,Thomas Francis Murphy,,,,
Brooke (TV Series),https://walkingdead.fandom.com/wiki/Brooke_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/9/93/Season_eight_brooke.png/revision/latest?cb=20171121031433,,,Unknown,Caucasian-American,Unknown,,,,Early to Mid 40s,,Red,,3,,,,Female,Post-Apocalypse Former Worker for the Saviors,,,Brooke Jaye Taylor,,,,
Brooks (TV Series),https://walkingdead.fandom.com/wiki/Brooks_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c7/Season_eleven_brooks.png/revision/latest/scale-to-width-down/268?cb=20221114230755,,,Unknown,Caucasian-American,Dead,,,,Mid to Late 30s,,Brown,,5,,,,Male,Post-Apocalypse Soldier for the Commonwealth Army,,,John Prozny,,,,
Bruce (TV Series),https://walkingdead.fandom.com/wiki/Bruce_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f3/Season_eight_bruce.png/revision/latest/scale-to-width-down/268?cb=20200802021434,,,(Unnamed) - Wife (Unnamed) - Child,Caucasian-American,Dead,,,,Early to Mid 40s,,Brown,,11,,,,Male,Post-Apocalypse Construction Worker for the Alexandria Safe Zone Soldier for the Militia,,,Ted Huckabee,,,,
Bud (TV Series),https://walkingdead.fandom.com/wiki/Bud_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/3/3b/609_Savior_1.png/revision/latest/scale-to-width-down/268?cb=20160216150851,,,Unknown,Caucasian-American,Dead,,,,Late 40s,,Brown (Graying),,2,,,,Male,Post-Apocalypse Lieutenant of the Saviors,,,Christopher Berry,,,,
Buttons (TV Series),https://walkingdead.fandom.com/wiki/Buttons_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/a/a0/Buttons_Ep_13.JPG/revision/latest/scale-to-width-down/268?cb=20150309064854,,,Unknown,Horse,Dead,,,,Unknown,,Black,,,,,,Male,,,,Bucephalus [ 1 ],,,,
Byrd (TV Series),https://walkingdead.fandom.com/wiki/Byrd_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/fe/Season_seven_byrd.png/revision/latest/scale-to-width-down/268?cb=20260519083025,,,Unknown,Caucasian-American,Dead,,,,Late 30s to Early 40s,,Brown,,,,,,Male,Pre-Apocalypse Soldier in the U.S. Military,,,Unknown,,,,
Caesar Martinez (TV Series),https://walkingdead.fandom.com/wiki/Caesar_Martinez_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/c/c6/Season_four_martinez.png/revision/latest/scale-to-width-down/268?cb=20191119034029,,,Mrs. Martinez † - Late Wife (Unnamed) † - Children,Latino-American,Dead,,,,Early to Mid 30s,,Black,,13,,Brown,,Male,Pre-Apocalypse Coach Post-Apocalypse Former Guard for Woodbury Former Second-in-Command of the Woodbury Army Former Leader of the River Camp Supply Runner for the River Camp,,,Jose Pablo Cantillo,,,,
Caleb Subramanian (TV Series),https://walkingdead.fandom.com/wiki/Caleb_Subramanian_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/f/f0/Season_four_dr_subramanian.png/revision/latest/scale-to-width-down/268?cb=20210302044055,,,Unknown,Indian-American,Dead,,,,Early 30s,,Black,,4,,,Dr. S,Male,Pre-Apocalypse Doctor Post-Apocalypse Doctor for the Prison,,,Sunkrish Bala,,,,
Callaway (TV Universe),https://walkingdead.fandom.com/wiki/Callaway_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/6/6d/Calliway_%28TV%29.JPG/revision/latest/scale-to-width-down/268?cb=20130224040136,,,Unknown,Caucasian-American,Undead,,,,Mid to Late 30s,,Brown,,1 ( Torn Apart ) 2 ( The Walking Dead ),,,,Male,Pre-Apocalypse Sergeant Major for the U.S. Military,,,Michael Koske,,,,
Cam (TV Series),https://walkingdead.fandom.com/wiki/Cam_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/2/2e/Season_six_cam.png/revision/latest?cb=20260605031707,,,Unknown,Caucasian-American,Dead,,,,Early to Mid 30s,,Brown,,,,,,Male,Unknown,,,Matt Lowe,,,,
Candace Jenner (TV Series),https://walkingdead.fandom.com/wiki/Candace_Jenner_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/19/Season_one_candace_jenner.png/revision/latest/scale-to-width-down/268?cb=20260305212940,,,Edwin Jenner † - Husband,Caucasian-American,Dead,,,,34,,Red,,,,Blue,Test Subject 19,Female,Pre-Apocalypse Head Scientist of the CDC,,,Claire Bronson,,,Rosaura Cruz ( Survival Instinct ),
Captain Commonwealth (TV Series),https://walkingdead.fandom.com/wiki/Captain_Commonwealth_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/0/09/Season_eleven_captain_commonwealth.png/revision/latest/scale-to-width-down/268?cb=20221003182833,,,Unknown,African-American,Unknown,,,,Mid to Late 30s,,Black,,,,,,Male,Post-Apocalypse Wrestler,,,Nick McNeil,,,,
Carl Grimes (TV Series),https://walkingdead.fandom.com/wiki/Carl_Grimes_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/6/67/Season_eight_carl_grimes.png/revision/latest/scale-to-width-down/268?cb=20221020001422,,,Lori Grimes † - Mother Rick Grimes - Father (Unnamed) † - Maternal Grandmother (Unnamed) † - Paternal Great-Grandfather Mrs. Grimes - Paternal Grandmother Mr. Grimes † - Paternal Grandfather Evie - Aunt Michonne Grimes - Stepmother Mrs. Hawthorne † - Maternal Stepgrandmother Judith Grimes - Half-Sister [ 1 ] R.J. Grimes - Half-Brother,Caucasian-American,Dead,,,,"3 ("" Wrath "", Flashback) 12 ("" Days Gone Bye "") 13 ("" Seed "") 14 ("" 30 Days Without An Accident "")",,Brown,,80,Enid † - Girlfriend,Blue,,Male,Pre-Apocalypse Student at King County Elementary School Post-Apocalypse Soldier for the Militia,,Codger † - Dog Violet † - Pig,Chandler Riggs,,,"Unknown ("" Wrath "")",
Carla (TV Series),https://walkingdead.fandom.com/wiki/Carla_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/4/46/Season_six_carla.png/revision/latest?cb=20151116204027,,,Unknown,Unknown,Dead,,,,Mid to Late Teens,,Blonde,,,,,,Female,Unknown,,,Unknown,,,,
Carlito (TV Series),https://walkingdead.fandom.com/wiki/Carlito_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/1/12/Season_one_carlito.png/revision/latest/scale-to-width-down/268?cb=20260529152050,,,Unknown,African/Latin-American,Dead,,,,Late 20s to Early 30s,,Black,,,,Unknown,,Male,Unknown,,,Unknown,,,,
Carm Elsick (TV Series),https://walkingdead.fandom.com/wiki/Carm_Elsick_(TV_Series),https://static.wikia.nocookie.net/walkingdead/images/7/76/Pilot1_%28BTS%29.png/revision/latest/scale-to-width-down/268?cb=20190824220224,,,Unknown,Caucasian-American,Unknown,,,,Mid to Late 40s,,Black (Graying),,2,,,The Collector,Male,Post-Apocalypse Lieutenant Colonel of the Civic Republic Military,,,Kevin Knotts,,,,
Carol Peletier (TV Universe),https://walkingdead.fandom.com/wiki/Carol_Peletier_(TV_Universe),https://static.wikia.nocookie.net/walkingdead/images/9/91/Season_three_carol_peletier_dd.png/revision/latest/scale-to-width-down/268?cb=20251012022851,,,(Unnamed) † - Mother (Unnamed) † - Grandmother Ed Peletier † - Late Husband Ezekiel Sutton - Ex-Husband Sophia Peletier † - Daughter Lizzie Samuels † - Adopted Daughter Mika Samuels † - Adopted Daughter Henry Sutton † - Adopted Son,Caucasian-American,Alive,,8 ( Onslaught ),,"Early 40s ("" Tell It to the Frogs "") Late 40s to Early 50s ("" Who Are You Now? "") Mid 50s ("" Coming Home "")",,Gray/White,,125 ( The Walking Dead ) 1 ( Fear ) 15 ( Daryl Dixon ),Tobin † - Ex-Boyfriend,Blue,Nancy from Montclair (fake identity) Queen Carol (by the Kingdom ) The Rogue (in Onslaught ) Boss Lady (by Jed ) Sister Isabelle (fake identity),Female,Pre-Apocalypse Housewife Post-Apocalypse Former Member of the Prison Council Former Self-Defense Instructor at the Prison Former Cook for the Alexandria Safe Zone Former Soldier for the Militia Former Leader of the Saviors Former Co-Leader of the Kingdom and the Coalition Former Ship Captain Former Baker at Elodie's Treats Director of Operations at the Commonwealth Former Kitchen Worker for Power of the Living,,,Melissa McBride,,,,
